[2019-08-24 11:39:04.018] [main] INFO  com.testTest : User(id=1, username=张三, birthday=Sat Feb 03 00:00:00 AWST 1990, sex=F, adress=null)
[2019-08-24 11:50:40.758] [main] INFO  com.testTest : User(id=1, username=张三, birthday=Sat Feb 03 00:00:00 AWST 1990, sex=F, address=北京市朝阳区)
[2019-08-24 11:53:40.909] [main] INFO  com.testTest : User(id=1, username=张三, birthday=Sat Feb 03 00:00:00 AWST 1990, sex=F, address=北京市朝阳区)
[2019-08-24 11:53:40.910] [main] INFO  com.testTest : User(id=3, username=addUSer, birthday=Sat Aug 24 11:52:56 AWST 2019, sex=?, address=??????)
[2019-08-24 12:04:30.693] [main] INFO  com.testTest : User(id=4, username=addUSer, birthday=Sat Aug 24 11:58:00 AWST 2019, sex=男, address=北京市顺义区)
[2019-08-24 12:13:51.089] [main] INFO  com.testTest : User(id=1, username=张三, birthday=Sat Feb 03 00:00:00 AWST 1990, sex=F, address=北京市朝阳区)
[2019-08-24 12:13:51.090] [main] INFO  com.testTest : User(id=3, username=addUSer, birthday=Sat Aug 24 11:52:56 AWST 2019, sex=?, address=??????)
[2019-08-24 12:13:51.090] [main] INFO  com.testTest : User(id=4, username=李四, birthday=Sat Aug 24 11:58:00 AWST 2019, sex=男, address=北京市顺义区)
[2019-08-24 12:14:50.149] [main] INFO  com.testTest : User(id=1, username=张三, birthday=Sat Feb 03 00:00:00 AWST 1990, sex=F, address=北京市朝阳区)
[2019-08-24 12:14:50.150] [main] INFO  com.testTest : User(id=4, username=李四, birthday=Sat Aug 24 11:58:00 AWST 2019, sex=男, address=北京市顺义区)
[2019-08-24 12:15:47.767] [main] INFO  com.testTest : 查无此人
